,cluster,Zone,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_prot_ani_prot_total,percentage_pop
0,1,Afghanistan,2087.0,58.26000000000002,20.957775489186396,17.808928949354
1,1,Mozambique,2282.0,45.680000000000014,13.879159369527136,12.41525462228714
2,1,Mali,2887.0,85.13000000000001,27.828027722307052,19.791375806443412
3,1,Malawi,2364.0,64.53,12.071904540523786,9.812025066998869
4,1,Madagascar,2056.0,46.68999999999999,21.48211608481474,12.70761261584233
5,1,Libéria,2206.0,37.66000000000001,21.614445034519374,10.893877180884806
6,1,Éthiopie,2129.0,60.389999999999986,12.733896340453722,13.84618460850703
7,1,Lesotho,2528.0,73.47999999999999,17.392487751769192,1.6282096523880536
8,1,Kenya,2205.0,61.87,25.699046387586876,13.695687304184952
9,1,Namibie,2166.0,57.60999999999999,33.93508071515362,5.934768641600849
10,1,Iraq,2542.0,63.6,20.69182389937107,12.147183714250032
11,1,Honduras,2639.0,64.78000000000002,35.78264896573016,15.556908239689045
12,1,Haïti,2089.0,47.7,21.278825995807125,7.247730819375542
13,1,Guinée-Bissau,2288.0,44.05,20.204313280363227,9.086204311682797
14,1,Guinée,2567.0,55.86000000000001,17.7765843179377,5.391309839392385
15,1,Guatemala,2416.0,63.73000000000001,27.961713478738424,10.319251983247302
16,1,Ghana,3014.0,64.57000000000002,26.668731609106384,12.974397037373675
17,1,Gambie,2621.0,61.309999999999995,22.997879628119396,18.906852085922772
18,1,Eswatini,2326.0,58.58999999999998,30.039255845707462,-10.007999781744129
19,1,Inde,2454.0,59.910000000000004,19.9966616591554,7.430070868404321
20,1,Niger,2549.0,80.92999999999996,18.188558013097744,20.549207225365866
21,1,Nigéria,2700.0,63.76999999999999,15.461815900893836,11.364247108953842
22,1,Népal,2672.0,68.99000000000002,16.59660820408754,1.0632013124848865
23,1,Zimbabwe,2113.0,48.319999999999986,24.337748344370862,2.000179793309722
24,1,Zambie,1924.0,55.220000000000006,16.71495834842448,16.209977715162104
25,1,Yémen,2217.0,58.89999999999999,23.5144312393888,14.357445921272923
26,1,Togo,2448.0,59.76000000000002,15.127175368139218,13.589559661674668
27,1,Timor-Leste,2129.0,57.51000000000001,30.846809250565116,10.644855493882368
28,1,Tchad,2109.0,62.75000000000002,15.474103585657367,17.139006633337488
29,1,Tadjikistan,2199.0,63.37999999999998,33.559482486588834,9.810473434580453
30,1,Sénégal,2453.0,58.31999999999999,26.148834019204394,10.857120799166259
31,1,Sri Lanka,2537.0,59.649999999999984,27.342833193629513,-0.20838237253861658
32,1,Soudan,2335.0,70.69000000000001,41.30711557504596,9.180364270372571
33,1,Sierra Leone,2401.0,56.11,26.483692746391014,20.367574492003424
34,1,Sao Tomé-et-Principe,2398.0,53.1,29.943502824858754,8.542942168811722
35,1,République-Unie de Tanzanie,2204.0,57.76,17.62465373961219,12.537749870643664
36,1,République populaire démocratique de Corée,2093.0,54.98999999999999,18.312420440080015,2.562090590523438
37,1,République démocratique populaire lao,2455.0,68.89000000000001,21.16417477137465,4.128113163379998
38,1,République centrafricaine,1879.0,46.04,37.18505647263249,1.0793833662497259
39,1,Rwanda,2224.0,56.78999999999999,9.825673534072898,4.267365308157962
40,1,Pakistan,2438.0,65.44999999999999,41.665393430099314,14.17590772984898
41,1,Ouganda,2126.0,52.63999999999999,23.51823708206687,12.052778349598151
42,1,Djibouti,2609.0,65.62,22.965559280707097,8.960364909382713
43,1,Côte d'Ivoire,2797.0,58.45000000000001,23.404619332763037,18.96041481928244
44,1,Îles Salomon,2383.0,56.31,30.989167110637545,14.07000307877529
45,1,Burkina Faso,2717.0,79.37000000000002,13.959934484061984,14.259528887627884
46,1,Bangladesh,2453.0,55.86,17.7765843179377,2.963071969469101
47,1,Bolivie (État plurinational de),2250.0,65.96,45.118253486961805,6.008398379937466
48,1,Bénin,2619.0,64.37999999999998,22.13420316868593,10.117888969341344
49,1,Angola,2474.0,57.26999999999997,32.12851405622492,30.307859642132545
50,1,Botswana,2325.0,64.85000000000002,40.75558982266768,10.339883268827737
51,1,Cameroun,2669.0,69.96,16.709548313321896,11.747444615810897
52,1,Congo,2206.0,51.41,43.260066134993195,15.185058841318835
