Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"MK","Indicateurs macro","80","Bosnie-Herzégovine","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","5042.748881","Fc","Donnée calculée",""
"MK","Indicateurs macro","20","Botswana","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","7001.009879","Fc","Donnée calculée",""
"MK","Indicateurs macro","21","Brésil","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","12216.965936","Fc","Donnée calculée",""
"MK","Indicateurs macro","26","Brunéi Darussalam","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","44598.075687","Fc","Donnée calculée",""
"MK","Indicateurs macro","27","Bulgarie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","7650.911049","Fc","Donnée calculée",""
"MK","Indicateurs macro","233","Burkina Faso","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","787.244581","Fc","Donnée calculée",""
"MK","Indicateurs macro","29","Burundi","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","255.372686","Fc","Donnée calculée",""
"MK","Indicateurs macro","35","Cabo Verde","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3558.7979","Fc","Donnée calculée",""
"MK","Indicateurs macro","115","Cambodge","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1016.376222","Fc","Donnée calculée",""
"MK","Indicateurs macro","32","Cameroun","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1493.748324","Fc","Donnée calculée",""
"MK","Indicateurs macro","33","Canada","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","52394.855895","Fc","Donnée calculée",""
"MK","Indicateurs macro","40","Chili","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","15941.397939","Fc","Donnée calculée",""
"MK","Indicateurs macro","351","Chine","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","7118.010713","Fc","Donnée calculée",""
"MK","Indicateurs macro","96","Chine - RAS de Hong-Kong","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","38566.712121","Fc","Donnée calculée",""
"MK","Indicateurs macro","128","Chine - RAS de Macao","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","89525.34488","Fc","Donnée calculée",""
"MK","Indicateurs macro","41","Chine, continentale","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","6921.114464","Fc","Donnée calculée",""
"MK","Indicateurs macro","50","Chypre","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","27719.99063","Fc","Donnée calculée",""
"MK","Indicateurs macro","44","Colombie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","8065.960259","Fc","Donnée calculée",""
"MK","Indicateurs macro","45","Comores","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1504.929593","Fc","Donnée calculée",""
"MK","Indicateurs macro","46","Congo","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3747.359134","Fc","Donnée calculée",""
"MK","Indicateurs macro","48","Costa Rica","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","10569.665626","Fc","Donnée calculée",""
"MK","Indicateurs macro","107","Côte d'Ivoire","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1423.602446","Fc","Donnée calculée",""
"MK","Indicateurs macro","98","Croatie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","13571.710853","Fc","Donnée calculée",""
"MK","Indicateurs macro","49","Cuba","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","6760.15344","Fc","Donnée calculée",""
"MK","Indicateurs macro","279","Curaçao","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","20320.966999","Fc","Donnée calculée",""
"MK","Indicateurs macro","54","Danemark","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","60942.805627","Fc","Donnée calculée",""
"MK","Indicateurs macro","72","Djibouti","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","2278.180552","Fc","Donnée calculée",""
"MK","Indicateurs macro","55","Dominique","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","7033.967669","Fc","Donnée calculée",""
"MK","Indicateurs macro","59","Égypte","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3015.145298","Fc","Donnée calculée",""
"MK","Indicateurs macro","60","El Salvador","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3518.116556","Fc","Donnée calculée",""
"MK","Indicateurs macro","225","Émirats arabes unis","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","43315.138419","Fc","Donnée calculée",""
"MK","Indicateurs macro","58","Équateur","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","6074.090829","Fc","Donnée calculée",""
"MK","Indicateurs macro","178","Érythrée","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","755.88375","Fc","Donnée calculée",""
"MK","Indicateurs macro","203","Espagne","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","29011.315287","Fc","Donnée calculée",""
"MK","Indicateurs macro","63","Estonie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","19122.406276","Fc","Donnée calculée",""
"MK","Indicateurs macro","209","Eswatini","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3616.086351","Fc","Donnée calculée",""
"MK","Indicateurs macro","231","États-Unis d'Amérique","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","53194.611837","Fc","Donnée calculée",""
"MK","Indicateurs macro","238","Éthiopie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","490.495538","Fc","Donnée calculée",""
"MK","Indicateurs macro","185","Fédération de Russie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","15997.000016","Fc","Donnée calculée",""
"MK","Indicateurs macro","66","Fidji","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","4762.751252","Fc","Donnée calculée",""
"MK","Indicateurs macro","67","Finlande","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","49899.658284","Fc","Donnée calculée",""
"MK","Indicateurs macro","68","France","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","42532.438874","Fc","Donnée calculée",""
"MK","Indicateurs macro","74","Gabon","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","9679.722828","Fc","Donnée calculée",""
"MK","Indicateurs macro","75","Gambie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","739.843868","Fc","Donnée calculée",""
"MK","Indicateurs macro","73","Géorgie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","4248.744405","Fc","Donnée calculée",""
"MK","Indicateurs macro","81","Ghana","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","2401.815577","Fc","Donnée calculée",""
"MK","Indicateurs macro","84","Grèce","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","21186.790514","Fc","Donnée calculée",""
"MK","Indicateurs macro","86","Grenade","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","7955.606892","Fc","Donnée calculée",""
"MK","Indicateurs macro","85","Groenland","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","47593.631725","Fc","Donnée calculée",""
"MK","Indicateurs macro","89","Guatemala","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3452.82893","Fc","Donnée calculée",""
"MK","Indicateurs macro","90","Guinée","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","726.089404","Fc","Donnée calculée",""
"MK","Indicateurs macro","61","Guinée équatoriale","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","20246.952326","Fc","Donnée calculée",""
"MK","Indicateurs macro","175","Guinée-Bissau","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","621.94077","Fc","Donnée calculée",""
"MK","Indicateurs macro","91","Guyana","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3944.178813","Fc","Donnée calculée",""
"MK","Indicateurs macro","93","Haïti","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","803.752574","Fc","Donnée calculée",""
"MK","Indicateurs macro","95","Honduras","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","2136.773905","Fc","Donnée calculée",""
"MK","Indicateurs macro","97","Hongrie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","13758.709299","Fc","Donnée calculée",""
"MK","Indicateurs macro","36","Îles Caïmanes","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","76706.191243","Fc","Donnée calculée",""
"MK","Indicateurs macro","47","Îles Cook","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","16277.454419","Fc","Donnée calculée",""
"MK","Indicateurs macro","127","Îles Marshall","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3642.635804","Fc","Donnée calculée",""
"MK","Indicateurs macro","25","Îles Salomon","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1839.0564","Fc","Donnée calculée",""
"MK","Indicateurs macro","224","Îles Turques-et-Caïques","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","22374.562039","Fc","Donnée calculée",""
"MK","Indicateurs macro","239","Îles Vierges britanniques","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","35544.729453","Fc","Donnée calculée",""
"MK","Indicateurs macro","100","Inde","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1499.38242","Fc","Donnée calculée",""
"MK","Indicateurs macro","101","Indonésie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3620.663981","Fc","Donnée calculée",""
"MK","Indicateurs macro","102","Iran (République islamique d')","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","6966.659601","Fc","Donnée calculée",""
"MK","Indicateurs macro","103","Iraq","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","6924.908391","Fc","Donnée calculée",""
"MK","Indicateurs macro","104","Irlande","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","50949.427618","Fc","Donnée calculée",""
"MK","Indicateurs macro","99","Islande","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","49027.815665","Fc","Donnée calculée",""
"MK","Indicateurs macro","105","Israël","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","37416.217468","Fc","Donnée calculée",""
"MK","Indicateurs macro","106","Italie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","35887.164432","Fc","Donnée calculée",""
"MK","Indicateurs macro","109","Jamaïque","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","5009.071593","Fc","Donnée calculée",""
"MK","Indicateurs macro","110","Japon","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","40180.809978","Fc","Donnée calculée",""
"MK","Indicateurs macro","112","Jordanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3995.672686","Fc","Donnée calculée",""
"MK","Indicateurs macro","108","Kazakhstan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","13752.023575","Fc","Donnée calculée",""
"MK","Indicateurs macro","114","Kenya","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1229.101416","Fc","Donnée calculée",""
"MK","Indicateurs macro","113","Kirghizistan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1290.514","Fc","Donnée calculée",""
"MK","Indicateurs macro","83","Kiribati","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1705.492959","Fc","Donnée calculée",""
"MK","Indicateurs macro","118","Koweït","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","48401.609793","Fc","Donnée calculée",""
"MK","Indicateurs macro","122","Lesotho","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1193.004198","Fc","Donnée calculée",""
"MK","Indicateurs macro","119","Lettonie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","14833.797197","Fc","Donnée calculée",""
"MK","Indicateurs macro","121","Liban","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","8882.803954","Fc","Donnée calculée",""
"MK","Indicateurs macro","123","Libéria","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","451.672553","Fc","Donnée calculée",""
"MK","Indicateurs macro","124","Libye","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","10623.933204","Fc","Donnée calculée",""
"MK","Indicateurs macro","125","Liechtenstein","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","173527.486269","Fc","Donnée calculée",""
"MK","Indicateurs macro","126","Lituanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","15494.454673","Fc","Donnée calculée",""
"MK","Indicateurs macro","256","Luxembourg","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","113341.237463","Fc","Donnée calculée",""
"MK","Indicateurs macro","154","Macédoine du Nord","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","5211.499148","Fc","Donnée calculée",""
"MK","Indicateurs macro","129","Madagascar","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","541.068615","Fc","Donnée calculée",""
"MK","Indicateurs macro","131","Malaisie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","10882.259575","Fc","Donnée calculée",""
"MK","Indicateurs macro","130","Malawi","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","319.135416","Fc","Donnée calculée",""
"MK","Indicateurs macro","132","Maldives","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","8291.47988","Fc","Donnée calculée",""
"MK","Indicateurs macro","133","Mali","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","803.855017","Fc","Donnée calculée",""
"MK","Indicateurs macro","134","Malte","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","23985.51105","Fc","Donnée calculée",""
"MK","Indicateurs macro","143","Maroc","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3158.206346","Fc","Donnée calculée",""
"MK","Indicateurs macro","137","Maurice","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","9662.833894","Fc","Donnée calculée",""
"MK","Indicateurs macro","136","Mauritanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1717.884198","Fc","Donnée calculée",""
"MK","Indicateurs macro","138","Mexique","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","10400.569944","Fc","Donnée calculée",""
"MK","Indicateurs macro","145","Micronésie (États fédérés de)","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3048.15722","Fc","Donnée calculée",""
"MK","Indicateurs macro","140","Monaco","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","172597.209233","Fc","Donnée calculée",""
"MK","Indicateurs macro","141","Mongolie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","4385.369601","Fc","Donnée calculée",""
"MK","Indicateurs macro","273","Monténégro","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","7119.391447","Fc","Donnée calculée",""
"MK","Indicateurs macro","142","Montserrat","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","11737.408284","Fc","Donnée calculée",""
"MK","Indicateurs macro","144","Mozambique","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","642.13042","Fc","Donnée calculée",""
"MK","Indicateurs macro","28","Myanmar","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1207.807683","Fc","Donnée calculée",""
"MK","Indicateurs macro","147","Namibie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","5490.066292","Fc","Donnée calculée",""
"MK","Indicateurs macro","148","Nauru","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","10952.582435","Fc","Donnée calculée",""
"MK","Indicateurs macro","149","Népal","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","651.313871","Fc","Donnée calculée",""
"MK","Indicateurs macro","157","Nicaragua","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1847.200726","Fc","Donnée calculée",""
"MK","Indicateurs macro","158","Niger","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","554.528175","Fc","Donnée calculée",""
"MK","Indicateurs macro","159","Nigéria","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","2996.963827","Fc","Donnée calculée",""
"MK","Indicateurs macro","162","Norvège","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","102964.572088","Fc","Donnée calculée",""
"MK","Indicateurs macro","153","Nouvelle-Calédonie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","38751.14152","Fc","Donnée calculée",""
"MK","Indicateurs macro","156","Nouvelle-Zélande","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","42232.040825","Fc","Donnée calculée",""
"MK","Indicateurs macro","221","Oman","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","21165.577128","Fc","Donnée calculée",""
"MK","Indicateurs macro","226","Ouganda","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","684.705257","Fc","Donnée calculée",""
"MK","Indicateurs macro","235","Ouzbékistan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","2298.393925","Fc","Donnée calculée",""
"MK","Indicateurs macro","165","Pakistan","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1212.181336","Fc","Donnée calculée",""
"MK","Indicateurs macro","180","Palaos","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","10678.221367","Fc","Donnée calculée",""
"MK","Indicateurs macro","299","Palestine","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","3061.515266","Fc","Donnée calculée",""
"MK","Indicateurs macro","166","Panama","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","11879.756529","Fc","Donnée calculée",""
"MK","Indicateurs macro","168","Papouasie-Nouvelle-Guinée","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","2800.156553","Fc","Donnée calculée",""
"MK","Indicateurs macro","169","Paraguay","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","5967.656918","Fc","Donnée calculée",""
"MK","Indicateurs macro","150","Pays-Bas","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","52074.773952","Fc","Donnée calculée",""
"MK","Indicateurs macro","170","Pérou","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","6581.738234","Fc","Donnée calculée",""
"MK","Indicateurs macro","171","Philippines","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","2760.290133","Fc","Donnée calculée",""
"MK","Indicateurs macro","173","Pologne","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","13684.131318","Fc","Donnée calculée",""
"MK","Indicateurs macro","70","Polynésie française","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","22045.687291","Fc","Donnée calculée",""
"MK","Indicateurs macro","177","Porto Rico","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","27773.839348","Fc","Donnée calculée",""
"MK","Indicateurs macro","174","Portugal","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","21502.328254","Fc","Donnée calculée",""
"MK","Indicateurs macro","179","Qatar","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","88304.833241","Fc","Donnée calculée",""
"MK","Indicateurs macro","212","République arabe syrienne","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1363.82469","Fc","Donnée calculée",""
"MK","Indicateurs macro","37","République centrafricaine","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","347.913166","Fc","Donnée calculée",""
"MK","Indicateurs macro","117","République de Corée","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","27323.418183","Fc","Donnée calculée",""
"MK","Indicateurs macro","146","République de Moldova","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","2332.220448","Fc","Donnée calculée",""
"MK","Indicateurs macro","250","République démocratique du Congo","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","458.125692","Fc","Donnée calculée",""
"MK","Indicateurs macro","120","République démocratique populaire lao","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1838.806532","Fc","Donnée calculée",""
"MK","Indicateurs macro","56","République dominicaine","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","6094.728502","Fc","Donnée calculée",""
"MK","Indicateurs macro","116","République populaire démocratique de Corée","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","666.272365","Fc","Donnée calculée",""
"MK","Indicateurs macro","215","République-Unie de Tanzanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","923.151898","Fc","Donnée calculée",""
"MK","Indicateurs macro","183","Roumanie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","9514.959048","Fc","Donnée calculée",""
"MK","Indicateurs macro","229","Royaume-Uni de Grande-Bretagne et d'Irlande du Nord","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","43099.86126","Fc","Donnée calculée",""
"MK","Indicateurs macro","184","Rwanda","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","688.876883","Fc","Donnée calculée",""
"MK","Indicateurs macro","189","Sainte-Lucie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","8447.081578","Fc","Donnée calculée",""
"MK","Indicateurs macro","188","Saint-Kitts-et-Nevis","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","15794.430478","Fc","Donnée calculée",""
"MK","Indicateurs macro","192","Saint-Marin","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","57735.033039","Fc","Donnée calculée",""
"MK","Indicateurs macro","191","Saint-Vincent-et-les Grenadines","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","6597.213752","Fc","Donnée calculée",""
"MK","Indicateurs macro","244","Samoa","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","4004.917348","Fc","Donnée calculée",""
"MK","Indicateurs macro","193","Sao Tomé-et-Principe","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1619.532714","Fc","Donnée calculée",""
"MK","Indicateurs macro","195","Sénégal","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","1360.448639","Fc","Donnée calculée",""
"MK","Indicateurs macro","272","Serbie","6119","Valeur (US $)","22014","Produit intérieur brut par habitant","2013","2013","","6351.678982","Fc","Donnée calculée",""
