,Zone,PIB_HAB_euros,Exportations - Valeur,Importations - Valeur,cluster,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_prot_ani_prot_total,percentage_pop
143,Pays-Bas,43222.06238016,401566.0,614024.0,3,3222.0,111.46000000000001,67.97057240265566,1.7618273859349245
144,Norvège,85460.59483304,0.0,433.0,3,3483.0,110.73000000000002,59.577350311568665,5.525741846794713
145,Israël,31055.46049844,0.0,5005.0,3,3610.0,127.99999999999999,56.609375000000014,7.737454656174372
146,Islande,40693.08700195,,0.0,3,3381.0,133.06,72.50864271757102,1.993686017468883
147,Portugal,17846.93245082,21509.0,28027.0,3,3472.0,110.87,60.69270316586994,-3.4301909100189514
148,Irlande,42288.02492294,10814.0,8548.0,3,3602.0,109.91,58.9755254298972,3.9780521262002746
149,Roumanie,7897.41600984,23503.0,49244.0,3,3359.0,103.00000000000001,45.83495145631068,-11.242044417458034
150,Monténégro,5909.094901009999,22.0,1014.0,3,3490.0,111.90000000000003,56.39857015192135,1.0845655286878653
151,Belgique,38825.53800373,87024.0,334425.0,3,3737.0,99.37000000000003,58.508604206500934,3.293608581925833
152,République de Corée,22678.43709189,16.0,7434.0,3,3333.0,96.11999999999998,47.99209321681233,3.7300026698347715
153,Lituanie,12860.39737859,2290.0,4843.0,3,3414.0,124.35999999999999,61.506915406883245,-7.701380519651129
154,Pologne,11357.828993939998,39952.0,83107.0,3,3450.0,101.46000000000002,52.51330573625073,-0.7789968311456966
155,Émirats arabes unis,35951.56488777,753.0,3037.0,4,3275.0,104.50999999999999,39.900487991579766,2.9587811556460784
156,Algérie,4541.03241287,0.0,22905.0,4,3293.0,91.92000000000002,27.1758050478677,7.152550008515594
157,Koweït,40173.33612819,255.0,5050.0,4,3499.0,108.14999999999998,49.53305594082294,18.570318119590688
158,Cuba,5610.9273551999995,0.0,0.0,4,3402.0,90.85999999999999,34.9768875192604,0.6362069807959582
159,Chine,5907.94889179,29756.0,76306.0,4,3112.0,98.04999999999998,40.418154003059655,2.9266319867321635
160,Tunisie,3485.33078594,0.0,5192.0,4,3349.0,98.49000000000001,28.81510813280536,4.913023128607968
161,Maroc,2621.31126718,1691.0,14203.0,4,3402.0,97.88,27.217000408663672,8.385148635298702
162,Arabie saoudite,20695.540497859998,9782.0,26985.0,4,3255.0,91.59000000000002,43.58554427339229,14.461001349563224
163,"Chine, continentale",5744.52500512,29756.0,50700.0,4,3112.0,98.05,40.05099439061704,2.9475607648229842
164,Azerbaïdjan,6558.4802726299995,25.0,5109.0,4,3113.0,93.10999999999999,32.30587477177532,5.392582589521503
165,Iran (République islamique d'),5782.32746883,4296.0,10550.0,4,3089.0,87.25000000000001,25.44412607449856,5.321733490392467
166,Turquie,10410.6325308,8787.0,18165.0,4,3708.0,108.11999999999996,33.57380688124307,8.99572514423351
167,Égypte,2502.57059734,29.0,421.0,4,3518.0,103.21999999999998,25.518310404960282,16.629749706975762
168,Oman,17567.42901624,33.0,1790.0,5,3140.0,88.20999999999998,51.80818501303709,24.795107043770614
169,Gabon,8034.16994724,,717.0,5,2826.0,86.28000000000002,49.89568845618915,21.105094902737964
170,Jordanie,3316.40832938,1489.0,4497.0,5,3099.0,79.58,34.1668760995225,27.006845140315644
171,Liban,7372.727281820001,39.0,3310.0,5,3059.0,79.59,36.838798844075896,29.702388311061245
172,Maldives,6881.9283004,,14.0,5,2733.0,122.32,70.282864617397,33.10012100152028
