clustKmean,PIB_HAB_euros,Exportations - Valeur,Importations - Valeur,cluster,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),ratio_prot_ani_prot_total,percentage_pop
0,12248.970201514221,8019.844444444445,15792.31111111111,2.977777777777778,3209.4,96.35422222222225,48.112203850529404,2.298036200831368
1,1729.8554893580956,334.5952380952381,2715.3571428571427,1.3095238095238095,2490.0476190476193,63.66476190476188,24.249159051437818,12.602088582001944
2,40673.184399164995,550108.0,393574.0,3.0,3362.5,106.42500000000001,64.30878950540121,1.119963787730231
3,48280.84946607263,34203.42105263158,27179.052631578947,2.9473684210526314,3426.7894736842104,107.66526315789476,60.439720128217445,5.112642800236083
4,6217.32016194724,8580.034482758621,5836.448275862069,1.896551724137931,2682.1724137931033,72.09517241379311,46.84140999410464,2.389071907358545
